,Reservoir,P1,P2,P3
0,SHA,8.779386626112034,0.005176543542458237,1.6772866633724515
1,ORO,3.12941618321351,0.04440902603269695,1.7772794507709644
2,BUL,4.914707094439683,0.029951813484887835,1.9558895301860773
3,FOL,3.39263818189558,0.060818198455773034,1.9634999773387314
4,PAR,8.222838341264929,0.09154640627941935,1.4044884751040856
5,NHG,0.05216265597381753,0.08530738043912078,1.933029963860521
6,NML,1.921507179279463,0.021958011654045952,1.6521501920973003
7,DNP,6.749345569678064,0.021142585467402653,1.4794641766951935
8,EXC,7.565603004043695,0.033273487343091684,1.6969419194516677
9,MIL,7.424978541384013,0.02825139922411872,1.8657510194813578
10,PNF,3.2909798926385534,0.0044236720353525855,1.931426230411775
11,TRM,0.016352300033743994,0.07807139120772433,1.821444876653046
12,SCC,2.251976189397442,0.04892425354435809,1.9324225530085266
13,ISB,6.652449709312894,0.043281323471980486,1.9276086214488548
